COUNTRY_NAME,HDI,LEB,EYS,MYS,GNI,OLSI
Hungary,0.83621149280866700000,75.31300000000000000000,15.59518000000000000000,12.02000000000000000000,23394.32423000000000000000,5.30000000000000000000
Latvia,0.82986228742339000000,74.34200000000000000000,15.97411000000000000000,11.73641794000000000000,22589.17355000000000000000,5.90000000000000000000
Argentina,0.82740051009268600000,76.45700000000000000000,17.26050000000000000000,9.85000000000000000000,20945.12105000000000000000,6.70000000000000000000
Croatia,0.82740294250816500000,77.49500000000000000000,15.25955000000000000000,11.22219652000000000000,20291.34365000000000000000,5.20000000000000000000
Bahrain,0.82388409532127700000,76.71500000000000000000,14.50000000000000000000,9.41900000000000000000,37236.36304000000000000000,5.80000000000000000000
Montenegro,0.80722434610105000000,76.40100000000000000000,15.13368000000000000000,11.28716000000000000000,15409.60512000000000000000,5.10000000000000000000
Russian Federation,0.80390828521609400000,70.26400000000000000000,14.95315000000000000000,12.01999000000000000000,23286.08065000000000000000,6.00000000000000000000
Romania,0.80238171382862000000,74.83700000000000000000,14.73498000000000000000,10.79977000000000000000,19427.60925000000000000000,5.80000000000000000000
Kuwait,0.80018293169495600000,74.54900000000000000000,13.26000000000000000000,7.26536880400000000000,76075.20735000000000000000,6.20000000000000000000
Belarus,0.79582706067491700000,71.46400000000000000000,15.66023000000000000000,11.97681000000000000000,15629.44697000000000000000,5.70000000000000000000
Oman,0.79577861528473100000,76.97000000000000000000,13.74085000000000000000,8.10000000000000000000,34402.27550000000000000000,6.90000000000000000000
Barbados,0.79471915763987900000,75.77300000000000000000,15.29256000000000000000,10.45693616000000000000,14951.61701000000000000000,..
Uruguay,0.79478589300903500000,77.35100000000000000000,15.51185000000000000000,8.57907000000000000000,19148.05627000000000000000,6.60000000000000000000
Bulgaria,0.79364156518520100000,74.32200000000000000000,15.04037000000000000000,10.79879781000000000000,16261.26026000000000000000,4.40000000000000000000
Kazakhstan,0.79412306252711800000,69.58800000000000000000,14.97189000000000000000,11.67600000000000000000,22093.08651000000000000000,5.90000000000000000000
