COUNTRY_ID,PIXELS
389,341451
390,1471073
391,168060
392,8
393,102925
394,3088878
395,5
396,7197990
397,7709
398,9577
399,8885465
400,515
401,143894
402,46
403,2648
404,679498
405,503663
406,42725
407,555024
408,23969
409,71
410,5858579
411,10564
412,55
413,593931
414,28442
415,93914
416,210
417,19529
418,414
419,9
420,4932294
421,961
422,1382833
423,807413
424,1298136
425,15993
426,5181
427,26
428,77519
429,64768
431,886
432,3
433,5127847
434,42023
435,5146
436,7285686
437,154174
438,23341
439,168665
440,7962
441,5028028
442,937741
443,247
444,52918
445,10189
446,557427
447,9830765
448,8193
449,186
450,3418041
451,1062589
452,1067921
453,678255
454,4070
455,218
456,244
457,489532
458,1145410
459,37
460,8
461,64061752
462,9068
463,61251
464,5479904
465,3932
466,101496
467,10416339
468,134
469,7386466
470,176
471,59412
472,3034
473,10
474,10911
475,271240
476,10305
477,2039
478,101
479,168
480,13401
481,2836
482,45
483,190970
484,5058572
485,15569
486,464
487,1157441
488,220
489,33
490,24563
491,513
492,19373
493,26677095
494,161
495,2610
496,91
497,1744
498,116
499,36456
500,160
501,7737410
502,10568028
503,2883
504,2014
505,233
506,1064027
507,16989
508,2164
509,1581
510,141952
511,110716
512,14321189
513,2344528
514,51654043
515,2425186
516,1415081
517,988
518,15628
519,7364404
520,44808327
521,163692
522,238659
523,3286992
524,2295
525,261
526,21
527,335289
528,126004645
529,2075389
530,717567
531,10662
532,27451162
533,243171
534,821697
535,4358748
536,197567
537,7473
538,6461507
539,103702
540,1417
541,101731
542,583029
543,310091
544,44236
545,1137
546,270058
547,29700
548,9678
549,578
550,662
551,5
552,296680
553,88411
554,81751
555,139778
556,364
557,2107
558,94671
559,175929
560,593
561,106
562,63168
563,159
564,1193
565,43952
566,213664
567,157283
568,2211
569,10621922
570,10150
571,1349
572,68
573,884
574,94941
575,32646
576,5296449
577,2
578,8416052
579,2980197
580,6839
581,167
582,35364
583,80443
584,3782431
585,5263702
586,2029
587,148793
588,661
589,136671
590,1987211
591,659214
592,154791727
593,95034
594,671
595,23
596,301703
597,4005
598,4369046
599,194181
600,6113
601,1636
602,197
603,3935
604,32293
605,162202
606,89
607,30464
608,27
609,61851
610,2327
611,1558919
612,81623
613,2018
614,25766724
615,376
616,4252
617,2010157
618,978615
619,9065
620,8
621,12006
622,649
623,8062
624,12
625,118759
626,5925140
627,1780
628,3300
629,473296
630,117
631,13
632,843385
633,1826815
634,26
635,4
636,8095
637,883637
638,40836
639,749
640,284042
641,1768977
642,125908
643,1061
644,1531137
645,228900
646,16
647,3923093
648,418
649,7
650,1455134
651,333520
652,418807
653,12444147
654,5817
655,380
656,388956
657,4728
658,9
