PIXELS,LC,COUNTRY_ID
494,150,257
1,110,186
4101,11,257
2,80,462
43218,130,258
5975,210,258
33898,110,258
2562,100,258
35239,180,258
20,80,257
8530,70,258
1613,190,258
370,30,258
5017,150,258
85,10,257
267,11,258
29,80,463
5,201,258
22,110,255
55,100,40
212497,40,37
5,122,36
2,201,242
1306,210,438
17,200,438
991,100,438
15331,70,438
398,90,438
87,40,258
3788,10,438
881,30,438
56934,90,242
18555,160,242
7698,61,242
82,11,438
289,40,438
1,110,463
32,150,438
110,180,438
37,160,248
51,190,438
8,80,258
7,160,438
1,80,438
1,160,462
12496,220,242
751,220,247
57,152,438
54,70,255
1,30,462
17,220,248
34,10,258
8,190,440
1,40,462
30,180,255
4,71,466
265,71,461
192,210,455
843,60,242
964,200,258
33,201,435
4,90,435
471,210,454
1536,70,454
34586,210,453
101932,70,453
1,71,465
90632,60,453
151034,90,453
31435,180,453
43350,100,453
8,202,454
470,90,454
32143,130,453
563,60,454
56153,30,453
85,12,436
4670,190,453
8042,40,453
83083,10,453
37651,11,453
2691,61,453
91,110,453
311,150,453
180,200,453
70,80,453
12,201,453
35,120,453
93,12,453
1521,200,257
4,30,435
283,100,454
103,180,454
76,10,454
4,202,453
392,130,454
108,30,454
2,160,453
36,110,454
7,40,454
55,152,453
14,70,455
1,61,454
4,150,454
4,200,454
2330,61,268
2487,121,268
6,150,255
9,61,248
197,60,258
13,100,248
17494,70,429
1772,210,429
1597,180,429
13710,90,429
9239,60,429
6704,100,429
3477,30,429
1558,11,429
6474,130,429
111,190,429
2112,10,429
171,40,429
11,180,455
8,11,454
28,202,436
26,200,429
9,120,434
311,110,429
8,122,434
126,60,257
53244,10,37
168613,180,256
49526,210,256
108931,100,256
368492,110,256
198003,70,256
6,10,435
1415135,130,256
1048106,11,256
80686,30,256
78793,150,256
7604,200,256
218503,190,256
65143,40,256
1,110,455
3744,10,256
27169,60,256
4,202,429
203,201,256
2255,80,242
6,61,429
11,120,256
28709,70,428
1063,210,428
6725,100,428
10575,10,428
9954,30,428
449,40,428
9009,11,428
2,150,429
3,110,435
524,90,428
146,190,428
13,120,428
278,180,428
16,120,40
2,60,435
2186,60,428
6,201,428
392,150,428
2,122,428
81,200,428
7399,130,428
158,80,256
179209,60,451
96155,30,451
74874,100,451
185745,90,451
173559,70,451
898,61,451
23143,180,451
88325,11,451
130334,10,451
79639,130,451
5297,40,451
5416272,40,36
36,200,255
10980,210,22
72730,71,22
16989,70,22
2,90,440
18904,210,451
5351,61,22
20404,90,22
115258,120,22
10140,100,22
2,60,255
87,202,256
15595,160,22
9499,130,22
452,60,22
5750,190,451
12631,200,22
855,150,22
52,202,451
1,11,435
882,180,22
806,140,22
3948,190,22
359,110,22
540,90,256
2010,40,413
16256,210,413
38485,130,413
5966,110,413
69384,30,413
107165,10,413
23033,100,413
142,12,451
9369,90,413
23648,190,413
246674,11,413
212,200,413
26229,70,413
19,80,22
125,152,22
163,80,451
132,202,413
166,150,413
8100,180,413
2,201,257
46,200,451
17019,60,413
3,201,451
457,220,22
335,110,451
2040,210,414
2260,10,414
6,202,257
164,210,416
18,70,416
2,150,416
8,202,428
1057,70,414
1408,130,414
308,90,414
816,100,414
423,110,414
1430,30,414
87,40,414
1016,60,414
1500,180,414
14302,11,414
1319,190,414
398,200,414
5,200,416
16,150,451
3,61,436
2,10,416
26,210,456
131,70,456
32,190,456
7,30,456
5,11,456
10,202,456
7,90,456
2,61,456
4,100,456
4,10,456
4,130,456
10,40,456
2,180,456
83,180,40
14,180,416
1798,210,415
858,180,415
1116,70,415
5308,30,415
61231,11,415
10784,10,415
1226,90,415
2073,100,415
1207,130,415
4351,60,415
1,190,435
843,61,38
3698,190,415
203,40,415
1461342,10,36
3,61,266
10,202,414
1475,40,247
12,61,413
105430,90,452
86486,60,452
51834,100,452
165481,30,452
240005,10,452
127620,70,452
200661,11,452
2271,40,452
49459,130,452
12396,190,452
20017,210,452
5466,180,452
274,12,452
2,121,266
20,110,452
82,80,452
175,61,452
358462,60,450
328121,90,450
616619,70,450
57216,130,450
1204013,10,450
15547,40,450
252384,30,450
22294,61,450
6797,180,450
37713,210,450
127428,100,450
330672,11,450
50,71,450
3,201,255
61,200,452
108,150,452
5,121,36
71,202,452
30196,190,450
2,130,416
5,12,413
79,110,450
13,80,413
3,70,432
4,71,452
3,152,450
151,150,450
7,80,414
52,12,415
13456137,130,520
4605203,10,520
75254,60,520
45765,90,520
1631,210,249
264,100,249
1277573,30,520
569553,70,520
957623,210,520
643390,11,520
7398,61,520
556,210,251
27759,210,250
3845,150,250
731894,130,250
142161,180,250
43907,110,250
44762,100,250
32917,30,250
393,10,250
194732,180,520
44160,70,250
91168,100,520
45,201,414
44,201,250
13,150,414
77,180,431
285,130,431
186,10,431
13,70,431
76,210,431
4,40,431
9,61,431
13,100,431
65,30,431
54,11,431
3951,200,250
2539710,40,520
3,100,416
53,201,413
6,190,431
67,90,431
31,60,431
1,110,415
51873,11,250
14623,190,250
6609,40,250
554,202,461
264,150,249
410,200,249
30259,160,450
61539,190,520
115,160,520
78953,80,520
1281,60,250
23,202,250
13,130,251
988,130,249
3,12,414
18,80,450
1127,180,249
202,11,249
63,30,249
15,70,251
3603,150,410
67067,210,410
3,100,251
15734,110,410
332263,10,410
16,12,461
18680,180,410
42,210,412
255102,30,410
777445,130,410
915,200,410
398,70,249
2033596,11,410
312,110,249
401884,190,410
4,202,415
4,150,415
874491,70,410
10346902,150,520
11,10,249
294710,100,410
11,80,250
2865092,120,520
36689,40,410
407900,60,410
5541643,200,520
302383,90,410
525,80,410
70184,210,433
983915,70,433
125302,190,433
263,200,433
306925,90,433
761704,10,433
1848623,11,433
265165,130,433
354342,30,433
179527,100,433
170744,60,433
16011,40,433
14892,180,433
1461,180,411
966,210,411
1743,130,411
2457,11,411
1519,150,433
71,202,433
13,80,433
5329,201,520
899,190,411
41,40,411
240,30,411
16,160,40
836,10,411
445,110,411
155,100,411
37,60,411
151,150,411
696,200,411
1092,210,425
1135,10,425
430,30,425
1692,130,425
8538,11,425
200,180,425
360,90,425
171,70,411
392,100,425
450,70,425
1367,60,425
297,190,425
191,80,411
1,12,265
36,40,425
49,202,411
158,202,410
26,90,411
2,150,425
2,200,425
4,200,412
90972,110,520
9,200,251
420,61,433
191,210,252
158,200,252
811,11,252
23,10,252
5200,130,252
163,40,252
713,201,410
211,30,252
271,190,252
18,210,427
119,50,265
1304,110,252
23287,20,265
514,100,252
653,70,252
26250,12,433
26,40,249
1255160,20,520
3,70,412
34666,12,410
2,202,249
3,150,252
21,60,40
1902,110,433
12,70,253
10,210,253
4,110,253
3,200,253
11,130,253
5,100,253
7996,190,38
116,190,426
1458,70,426
620,90,426
222,30,426
320,210,426
379,180,426
246,100,426
132,10,426
622,130,426
339,60,426
722,11,426
5,40,426
2,180,412
80317,202,520
1016,60,38
26,90,40
12,200,450
31,90,250
79,190,249
2,110,266
12,62,38
18,120,250
2008853,210,592
2248029,80,592
42507902,130,592
7072813,40,592
9617221,11,592
1532,210,408
498,200,408
334,202,408
2471815,100,592
611,10,408
5511191,60,592
4030,130,408
220,150,408
9695,11,408
1528,180,408
2807449,61,592
3,80,408
2,70,427
8627772,70,592
5,180,427
17084,90,592
2020703,190,592
138049,122,592
641,30,408
351,70,408
15,90,408
306,100,408
544028,180,592
97,110,408
143,60,408
26171983,200,592
4399,160,592
131135,11,407
15726,210,407
40285,30,407
40499,10,407
81,200,407
9264,180,407
55,80,407
3805,190,408
190363,130,407
61263,190,407
157,40,408
18244,100,407
6634,60,407
26820,70,407
9990796,10,592
5376,40,407
1,130,427
884736,110,592
261458,120,592
16,60,249
4,11,412
16,12,257
3,201,408
7376163,30,592
6854,90,407
2,202,258
114,150,407
2177,110,407
2,201,249
188775,121,592
3711205,150,592
582,122,242
640,40,242
6074,11,242
2,153,242
26,80,39
89,202,407
9,80,38
627,10,242
284,30,242
5164,11,247
434,12,256
1379,10,247
35,12,407
47,210,409
1,190,266
11,190,409
5,121,247
6189939,10,447
189455,30,447
1032752,11,447
509636,70,447
651074,60,447
241410,90,447
233797,130,447
128107,100,447
20135,40,447
7135,61,447
413953,190,447
192050,210,447
7,201,450
11289266,200,614
5058140,130,614
249722,11,614
168006,110,614
75572,10,614
527097,30,614
998218,80,614
748653,40,614
5717363,150,614
140018,120,614
70,201,433
211311,100,614
59359,60,614
2970,110,447
2386,160,447
3,61,407
7,201,407
243305,210,614
12,180,409
6122,150,447
5798,180,447
5,160,433
85500,70,614
4895,122,614
1,11,409
10114,220,614
275,202,265
91973,20,614
19,140,614
10140,190,614
73950,130,405
45835,30,405
185632,11,405
56639,190,405
29255,100,405
17849,10,405
25175,70,405
31633,60,405
1,71,447
